ID,area of specialization,current position,PhD year,Years in postdoc,1st author pubs,Other pubs,h index,Major grants,Classes taught,Years on market,Gender,Ethnicity,Number apps,job searching result this year,# of phone/Skype interviews,# of campus interviews,# of rejections,# of offers,Frac schools you've actually heard back from,Types of jobs applying for,Comments/q's from others
1,ecology/conservation/aquatic/ herps,Postdoc,2012,3,14,6,8,1,2,3,F,W,51,Interviews for 8 different positions; letters requested for 3 additional,6,3,27,0,0.666666667,Schools with phd programs and a few appealing schools with masters programs,
2,ecology,postdoc,2013,2,6,7,6,0,2,2,F,W,9,2 interviews; 2 offers; offer accepted,1,2,6,2,0.777777778,"Prefer schools with PhD programs, but applying more widely this year",good on you! x3... 2) If you have a minute could you add some info to the Negotiations tab regarding your offers?  I'm tring to figure out my own negotiations.  :) 3) Waiting until mine are final until posting publicly. But then: yes!
3,applied ecology/ pop+com /insects,postdoc,2012,3,11,10,8,0,3.5,3,F,W,?,,,,,,,Schools with phd programs,
4,ecology,postdoc,2014,1,3,0,1,0,2,1,M,W,11,,0,0,0,0,0,SLAC/universities I fit precisely,
5,ecology,postdoc,2014,1,7,3,6,0,0,1,M,W,?,,,,,,,,
6,Ecology/Conservation/Disease Ecology,Postdoc,2014,1,5,8,5,2,1,1,F,W,14,"6 letter requests, 3 phone, 2 campus",3,2,10,1,,R1/R2; applying selectively because I am happy with my post-doc,
7,ecological and landscape genomics,postdoc,2011,4,11,8,6,1,0,2,F,W,15,"6 letter requests, 3 rejections",0,0,3,0,3,R1 applying selectively because I am happy with my post-doc,
8,Behavioral Ecology,Postdoc,2013,2,6,5,6,1,0,3,M,W,9,,0,0,9,0,9 of 9,R1 or top SLACs; being selective since I just started a second postdoc that I'm excited about.,
9,ecology/conservation,postdoc,2014,1,9,4,3,0,25,1,M,W,25,"3 phone interviews, 1 campus visit",3,1,too many,,,Open to anything/Looking for spousal hire opportunity,
10,ecology/conservation,Assistant Professor,2010,4,8,24,13,1,13,4,F,W,?,,,,,,0,R1/R2/Lookng for spousal hire opportunity,
11,Behavioral Ecology,Assistant Professor,2009,2,6,8,8,0,20,6,M,W,?,,,,,,,SLACs,
12,evolution,postdoc,2012,4,6,6,7,1,0,2,F,A,20,3 campus interviews and 2 offers,0,3,14,2,17 of 20,mostly R1,
13,disease ecology & evolution/ wildlife conservation/ ecological genetics,research scientist,2011,4,7,1,4,2,1,2,F,A/W,41,"7 letter requests, 2 phone interviews, 3 campus interviews (1 completed), 1 short-list",2,3,19,1,0.66,Schools with graduate programs,
14,ecology/aquatic+marine/fisheries,PhD student,2016,0,5,9,6,1,0,0,M,W,6,"nothing requested, no interviews",0,0,4,0,2 of 6,"with graduate programs (but not necessarily PhD), research-based position (rather than teaching/instructor only)",
15,ecology,VAP,2013,1,5,11,6,0,3,1,F,W,?,,,,,,,,
16,evolution,postdoc,2014,<2,6,6,10,1,0,0,M,W,20,"4 letters requested, 1 phone interview, 1 on site, 1 dream offer (accepted)",1,1,many,1,,R1,
17,ecology/vector biology/behavioral ecology,reserarch faculty,2008,4,12,?,7,1,1,3,M,W,4,,,,,,,,
18,ecology and biogeochemistry,postdoc,2015,<1,6,3,4,2,0,0,M,W,6,"2 on campus interviews, one upcoming skype interview",0,2,3,0,0.833333333,R1,
19,biological oceanography,postdoc,2012,2,6,5,9,0,1,2,M,W,3,,,,,,,Applying widely,
20,physiological ecology,postdoc,2014,<2,6,6,6,0,2,0,F,W,17,,5,3,12,1,,Research-oriented liberal arts schools and smaller R1 schools. Applying selectively b/c I like my postdoc,
