ID,area of specialization,current position,Postdoc,Years in postdoc,1st authored pubs,Other pubs,Total pubs,h index,Major grants,Classes taught,Years on market,Gender,Ethnicity,Misc,Number apps,job searching result this year,# of phone/Skype interviews,# of campus interviews,# of rejections,# of offers,Frac schools you've actually heard back from,Types of jobs applying for,Comments/q's from others
3,conservation biology/ quantitative/ etc.,Postdoc,2012,4,19,6,25,10,1,2,4,F,W,,54,,5,3,19,0,0.481481482,"varied, mostly dept. with a phd program, but a few other select institutions that seem good","One campus interview is a search with applications due in April, so I'm not sure what year it belongs to."
7,Applied behavioural ecology/conservation,Postdoc,2014,2,7,2,9,5,3,1,0.5,F,W,"Not American, did PhD in 3.5 years.",7,,1,1 offered (I turned it down),1,,,Ones that look interesting because I still have 2 years of fellowship,"1) How da hell do you have 3 >100k grants as a brand new postdoc?? 2) I'm holding 3 independent fellowships concurrently- one pays my salary and the other two go on research (inc. field staff) 3) Cool, just 'mirin 4) Ha! If only my publication record were as good as my ability to attract funding"
8,Disease ecology,Postdoc,2014,2,7,10,17,7,1,1,2,F,W,,30,,2,3,19,1,,"R1/R2, Both US and Canada",Rejections based on wiki. 
11,Physiological ecology,Postdoc,2014,2,8,7,15,7,0,2,1,F,W,,41,,10,7 (turned 1 down),16,,,broad,
13,Macroecology,Asst Prof,2014,1,16,12,28,14,3,2,1,F,Hispanic,grew up in an orphanage,5,,,,,,,,
22,Behavioural Ecology,Postdoc/Sessional Instructor,2014,2,13,5,18,7,0,6,1,F,W,2 body problem,7,,0,0,6,0,2,"R1, selected SLACs, a couple of non-ac jobs (0 for 2)",
23,Ecology/Evolution and STEM ed,postdoc,2014,1.5,5,10,15,6,0,1,1,F,W,postdoc is in biology education research,18,accepted offer,1,2,5,1,38.89%,SLAC/master's granting,6 additional rejections based on wiki
25,"Pop/Com Ecology, Data Science",postdoc,2012,4,13,14,27,9,1,5,3,F,W,,25,,11,4,5,,44%,R1/R2,
26,Ecosystem Ecology/Biogeochemistry,postdoc,2012,3.5,7,4,11,6,1,1,1,F,W,,6,,1,2,1,1,50%,R1/R2,
28,Ecology/evolution,Asst.Prof,2008,3,17,18,35,15,2,5,4,F,W,"Didnt get start up last time, not getting any this time",50,Accepted offer.,2,1,5,1,10% :(,Everything that fits,
29,Aquatic/Ecology/Conservation/Pop gen,postdoc,2012,4,8,13,21,10,2,1,2,F,W,,13,,1,3,10,,100%,"R1/R2: being geographically picky due to partners non-academic job, rejections mostly based on wiki",
30,Evolutionary Ecology,postdoc,2015,1,3,7,10,6,0,1,1,F,W,2 body problem,35,,5,3,,1,,applying broadly; so far all interviews have been at SLACs,go acaduo!
32,Evolutionary genomics,asst prof,2010,5,7,16,23,16,1,0,1,F,Hispanic,wanna switch jobs so badly,1,,1,1,,,100%,applying super narrowly,
35,Ecology/Physiology,postdoc,2011,3,14,4,18,?,0,2,3,F,W,,?,,,2,1,,50%,applying broadly,
36,Evolutionary Biology,Admin/Research,2005,4,14,7,21,14,0,20,?,F,W,"Coming back on tt market from an ""alt-ac"" job",4,Nothing,0,0,1,0,0.5,R1,
37,Marine Conservation / Behavior,Research Faculty,2010,3.5,7,14,21,?,1,2,?,F,W,,1,,,,,,,Only really good fits,being picky due to partners non-academic job
38,Conservation paleontology,Research Faculty,2010,3.5,5,12,17,10,2,0,4,F,W,in an acaduo!,30,,,2,9,1,37%,R1,
40,Conservation Biology,Asst Prof,2012,?,3,6,9,11,0,16,0.5,F,W,selectively applying,3,,0,0,3,,0%,more research focus/alt-ac,"oh well, -You cannot have a h-index of 11 with 9 total publications??"
42,"Evolution, Physiology",Postdoc,2015,1,3,9,12,6,1,2,0,F,W,,2,,,,,,,SLAC / only ones that look interesting as I have 3 years funding left,
48,Evolutionary Ecology,Postdoc,2012,4,5,2,7,4,1,0,3,F,W,geographically restricted,?,,,,,,,R1/R2/R3,
