Timestamp,When did you get your PhD?,PhD01,"In what year did you first apply for tenure track positions or their equivalents? (Give your answer in terms of years post-PhD; if you applied while still a PhD student, choose ""0"")",FirstApplied01,FirstApplied01NY,"In what year did you get your first on campus interview? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstInterview01,FirstInterview01NY,"In what year did you get your first tenure track job offer? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstOffer01,FirstOffer01NY,Which of the following options made you decide to wait a year (or more) to apply? (Choose up to 3),Gender
2/27/2017 11:39:16,2015,2015,1,1,1,1,1,1,I haven't received a tenure track job offer yet,?,NY,"already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/27/2017 17:10:42,2007,2007,0,0,0,0,0,0,0,0,0,?,Male
2/28/2017 14:10:21,2013,2013,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 10:42:54,2015,2015,2,2,2,2,2,2,2,2,2,"waited until had received PhD, advice from other mentors",Female
2/27/2017 11:16:22,2015,2015,1,1,1,1,1,1,2,2,2,wasn't interested in a permanent position yet,Male
3/3/2017 7:39:33,2012,2012,2,2,2,2,2,2,3,3,3,"it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position",Female
2/28/2017 9:52:03,2013,2013,I haven't applied yet,?,NY,?,?,?,?,?,?,"waited until had more publications, it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet",Female
2/27/2017 10:23:27,?,?,3,3,3,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, it took a while to work up the courage to put myself out there",Female
2/27/2017 9:40:56,2017,2017,0,0,0,?,?,?,?,?,?,"waited until had received PhD, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 17:06:06,2014,2014,1,1,1,1,1,1,2,2,2,wanted to explore a new geographic area before committing to a TT position,Female
2/27/2017 22:38:30,2007,2007,0,0,0,1,1,1,1,1,1,?,Female
2/27/2017 10:32:22,2010,2010,3,3,3,4,4,4,4,4,4,"advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 10:11:03,2014,2014,2,2,2,2,2,2,I haven't received a tenure track job offer yet,?,NY,"advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 13:22:16,2013,2013,1,1,1,2,2,2,I haven't received a tenure track job offer yet,?,NY,"already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Male
2/28/2017 7:14:03,2014,2014,2,2,2,3,3,3,I haven't received a tenure track job offer yet,?,NY,"it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/27/2017 13:36:52,2012,2012,2,2,2,3,3,3,3,3,3,"waited until had more publications, advice from PhD or postdoc advisor",Male
2/27/2017 11:46:21,2015,2015,0,0,0,2,2,2,2,2,2,"waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Male
3/9/2017 16:49:21,2012,2012,5,5,5,5,5,5,5,5,5,"waited until had more publications, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/28/2017 6:15:51,2012,2012,2,2,2,2,2,2,I haven't received a tenure track job offer yet,?,NY,wasn't interested in a permanent position yet,Male
3/3/2017 7:37:58,before 1996,1990,1,1,1,1,1,1,1,1,1,"waited until had more publications, it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet",prefer not to say
2/27/2017 10:19:50,2014,2014,?,?,?,?,?,?,?,?,?,?,?
2/27/2017 21:15:11,2007,2007,2,2,2,2,2,2,2,2,2,"advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/27/2017 20:21:27,2008,2008,0,0,0,0,0,0,0,0,0,advice from PhD or postdoc advisor,Female
2/27/2017 15:11:17,2016,2016,0,0,0,0,0,0,I haven't received a tenure track job offer yet,?,NY,"advice from PhD or postdoc advisor, advice from other mentors",Female
2/27/2017 10:42:35,2011,2011,2,2,2,2,2,2,2,2,2,"advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position",Female
3/2/2017 22:03:58,2016,2016,1,1,1,1,1,1,I haven't received a tenure track job offer yet,?,NY,"advice from PhD or postdoc advisor, wanted to explore a new research area before committing to TT position, advice was first year of postdoc, only apply to things that I would absolutely regret missing out on, since getting those positions = a shorter postdoc",Female
2/27/2017 11:49:25,2010,2010,2,2,2,2,2,2,3,3,3,advice was to apply earlier than I would otherwise have...!,Female
2/28/2017 12:39:07,2004,2004,1,1,1,2,2,2,2,2,2,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:14:28,2002,2002,2,2,2,2,2,2,2,2,2,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 10:09:30,2008,2008,2,2,2,2,2,2,2,2,2,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 18:06:44,2008,2008,2,2,2,2,2,2,2,2,2,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 20:20:58,2006,2006,0,0,0,2,2,2,3,3,3,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 20:21:47,2011,2011,1,1,1,1,1,1,3,3,3,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:46:54,2013,2013,1,1,1,3,3,3,3,3,3,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:38:37,2013,2013,2,2,2,2,2,2,3,3,3,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 23:14:07,2005,2005,1,1,1,1,1,1,9,9,9,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
